Latitude,Longitude,StationID,demand_tpd,Production_Type,ProductionCapacity_tpd,ProductionCost_perDay,CO2_Emitted_tpd,CO2_Captured_tpd,DeliveredCost_usd_per_kg,Mode,Scenario_TotalCost_perDay,ScenarioID,StationCount,Constraint,Estimated_dispensed_cost
29.804,-94.981,100951,9.992768209443993,smr-noCCS,11.47960689454413,8627.44859755694,92.98481584580745,0.0,5000.0,Onsite,97944.6570586116,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist,10,any,$6.00 - $9.00/kg
29.804,-94.981,100951,9.992768209443993,smr-noCCS,11.47960689454413,8627.44859755694,92.98481584580745,0.0,5000.0,Pipeline,97944.6570586116,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist,10,any,$6.00 - $9.00/kg
32.319,-102.547,104234,1.4284819584267214,smr-noCCS,10.0,3453.7765498685767,13.292325916986698,0.0,5000.0,Onsite,97944.6570586116,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist,10,any,$6.00 - $9.00/kg
30.7,-101.207,107617,9.89528986222988,smr-noCCS,11.367624600621106,8543.288791952747,92.07775926503096,0.0,5000.0,Onsite,97944.6570586116,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist,10,any,$6.00 - $9.00/kg
37.954,-121.271,14295,9.999816877486342,smr-noCCSExisting,11.487704339720612,27754.40646867932,0.0,0.0,10500.0,Onsite,97944.6570586116,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist,10,any,$11.50 - $14.50/kg
34.07,-117.37,15891,9.998871285768049,smr-noCCS,11.486618056574336,28860.60334654544,93.04160625825212,0.0,12000.0,Onsite,97944.6570586116,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist,10,any,$13.00 - $16.00/kg
29.779,-95.124,100467,9.997597256673924,electrolyzerExisting,11.02397022032924,50307.87465759532,0.0,0.0,1000.0,Onsite,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
29.779,-95.124,100467,9.997597256673924,electrolyzerExisting,11.02397022032924,50307.87465759532,0.0,0.0,1000.0,Pipeline,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
29.93,-95.314,100920,10.001569356567128,electrolyzerExisting,11.032421529674629,50333.16118195978,0.0,0.0,1000.0,Onsite,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
29.93,-95.314,100920,10.001569356567128,electrolyzerExisting,11.032421529674629,50333.16118195978,0.0,0.0,1000.0,Pipeline,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
29.804,-94.981,100951,9.992768210876598,electrolyzerExisting,11.018645419337217,50283.57493476141,0.0,0.0,1000.0,Onsite,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
29.804,-94.981,100951,9.992768210876598,electrolyzerExisting,11.018645419337217,50283.57493476141,0.0,0.0,1000.0,Pipeline,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
29.813,-95.292,101729,9.999670811763584,electrolyzerExisting,11.026614519137803,50318.77455623964,0.0,0.0,1000.0,Onsite,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
29.813,-95.292,101729,9.999670811763584,electrolyzerExisting,11.026614519137803,50318.77455623964,0.0,0.0,1000.0,Pipeline,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
27.799,-97.659,102754,9.999818754221463,electrolyzerExisting,11.026419788605606,50319.05325943746,0.0,0.0,1000.0,Onsite,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
30.022,-93.845,102997,9.999190245046144,electrolyzerExisting,11.02572675479665,50315.8906004954,0.0,0.0,1000.0,Onsite,1777651.9566601738,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_30stations_5stDist,30,electrolysis,$2.00 - $5.00/kg
