StartID,start_lat,start_lon,StartNodeType,EndID,end_lat,end_lon,EndNodeType,constraint,station_count,road_geometry,total_cost,dist_km,flow_tpd,Distribution_Mode,Scenario_Key
15891,34.07,-117.37,demand,15891,34.07,-117.37,demandSector,electrolysis,10,,0.0,0.0,12.0,Onsite,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
15891,34.07,-117.37,dist,15891,34.07,-117.37,converter,electrolysis,10,,0.0,0.0,12.0,Onsite,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
laPazAZ,33.73341025,-113.9782551,center,laPazAZ,33.73341025,-113.9782551,converter,electrolysis,10,,0.0,0.0,12.0,Onsite,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
laPazAZ,33.73341025,-113.9782551,converter,laPazAZ,33.73341025,-113.9782551,converter,electrolysis,10,,0.0,0.0,12.0,Onsite,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
laPazAZ,33.73341025,-113.9782551,converter,laPazAZ,33.73341025,-113.9782551,dist,electrolysis,10,,1096.3756617088986,0.0,12.0,Onsite,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
laPazAZ,33.73341025,-113.9782551,dist,15891,34.07,-117.37,dist,electrolysis,10,"LINESTRING (-113.940498 33.729476000000005, -113.94001 33.768069, -113.922609 33.76813599999999, -113.92284500000001 33.685301000000024, -114.00979600000001 33.66380900000002, -114.096509 33.67922600000001, -114.371279 33.648287999999994, -114.51450899999999 33.60250799999999, -114.984756 33.60669200000001, -115.378791 33.71080100000002, -115.72126200000001 33.660348, -115.888304 33.66563599999999, -116.18859399999998 33.71607800000002, -116.32272100000002 33.76722900000001, -116.542433 33.90414899999998, -116.64078800000001 33.92378, -116.97946 33.92725299999999, -117.07010000000001 34.011084, -117.17563800000002 34.060926, -117.37000200000001 34.06999899999998)",21318.216,355.3036,12.0,Pipeline,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
laPazAZ,33.73341025,-113.9782551,production,laPazAZ,33.73341025,-113.9782551,center,electrolysis,10,,0.0,0.0,12.0,Onsite,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
100467,29.779,-95.124,converter,100467,29.779,-95.124,demand,low_carbon,10,,0.0,0.0,10.25261776300636,Onsite,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
100467,29.779,-95.124,demand,100467,29.779,-95.124,demandSector,low_carbon,10,,0.0,0.0,10.25261776300636,Onsite,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
100467,29.779,-95.124,dist,100467,29.779,-95.124,converter,low_carbon,10,,0.0,0.0,10.25261776300636,Onsite,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
100951,29.804,-94.981,converter,100951,29.804,-94.981,demand,low_carbon,10,,0.0,0.0,10.248993035522522,Onsite,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
100951,29.804,-94.981,demand,100951,29.804,-94.981,demandSector,low_carbon,10,,0.0,0.0,10.248993035522522,Onsite,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
100951,29.804,-94.981,dist,100467,29.779,-95.124,dist,low_carbon,10,,3325.9072511296126,14.8395,10.25261776300636,Pipeline,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
100951,29.804,-94.981,dist,100951,29.804,-94.981,converter,low_carbon,10,,0.0,0.0,10.248993035522522,Onsite,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
104234,32.319,-102.547,center,104234,32.319,-102.547,dist,low_carbon,10,,0.0,0.0,1.4651096980893925,Onsite,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
104234,32.319,-102.547,converter,104234,32.319,-102.547,demand,low_carbon,10,,0.0,0.0,1.465109697379013,Onsite,H2LA_Station_Opt_Geotab_FCEV70kg_0To8000mi_10stations_5stDist
